Czas[s] Amplituda
1.000000000000000000e+00 1.500000000000000000e+02
1.000999999999999890e+00 1.500000000000000000e+02
1.002000000000000002e+00 1.500000000000000000e+02
1.002999999999999892e+00 1.350000000000000000e+02
1.004000000000000004e+00 1.350000000000000000e+02
1.004999999999999893e+00 1.400000000000000000e+02
1.006000000000000005e+00 1.640000000000000000e+02
1.006999999999999895e+00 1.600000000000000000e+02
1.008000000000000007e+00 1.500000000000000000e+02
1.008999999999999897e+00 1.350000000000000000e+02
1.010000000000000009e+00 1.210000000000000000e+02
1.010999999999999899e+00 1.160000000000000000e+02
1.012000000000000011e+00 1.160000000000000000e+02
1.012999999999999901e+00 1.010000000000000000e+02
1.014000000000000012e+00 8.600000000000000000e+01
1.014999999999999902e+00 9.600000000000000000e+01
1.016000000000000014e+00 9.600000000000000000e+01
1.016999999999999904e+00 8.600000000000000000e+01
1.018000000000000016e+00 8.600000000000000000e+01
1.018999999999999906e+00 7.700000000000000000e+01
1.020000000000000018e+00 8.600000000000000000e+01
1.020999999999999908e+00 9.600000000000000000e+01
1.022000000000000020e+00 1.060000000000000000e+02
1.022999999999999909e+00 9.600000000000000000e+01
1.024000000000000021e+00 9.600000000000000000e+01
1.024999999999999911e+00 1.060000000000000000e+02
1.026000000000000023e+00 8.100000000000000000e+01
1.026999999999999913e+00 7.700000000000000000e+01
1.028000000000000025e+00 8.600000000000000000e+01
1.028999999999999915e+00 8.600000000000000000e+01
1.030000000000000027e+00 9.600000000000000000e+01
1.030999999999999917e+00 1.110000000000000000e+02
1.032000000000000028e+00 9.600000000000000000e+01
1.032999999999999918e+00 8.100000000000000000e+01
1.034000000000000030e+00 8.600000000000000000e+01
1.034999999999999920e+00 7.700000000000000000e+01
1.036000000000000032e+00 7.700000000000000000e+01
1.036999999999999922e+00 7.700000000000000000e+01
1.038000000000000034e+00 8.100000000000000000e+01
1.038999999999999924e+00 9.600000000000000000e+01
1.040000000000000036e+00 9.100000000000000000e+01
1.040999999999999925e+00 8.600000000000000000e+01
1.042000000000000037e+00 7.700000000000000000e+01
1.042999999999999927e+00 6.700000000000000000e+01
1.044000000000000039e+00 7.700000000000000000e+01
1.044999999999999929e+00 7.200000000000000000e+01
1.046000000000000041e+00 8.100000000000000000e+01
1.046999999999999931e+00 8.600000000000000000e+01
1.048000000000000043e+00 9.600000000000000000e+01
1.048999999999999932e+00 9.100000000000000000e+01
1.050000000000000044e+00 8.600000000000000000e+01
1.050999999999999934e+00 7.700000000000000000e+01
1.052000000000000046e+00 5.700000000000000000e+01
1.052999999999999936e+00 6.700000000000000000e+01
1.054000000000000048e+00 8.100000000000000000e+01
1.054999999999999938e+00 9.100000000000000000e+01
1.056000000000000050e+00 9.600000000000000000e+01
1.056999999999999940e+00 9.600000000000000000e+01
1.058000000000000052e+00 9.100000000000000000e+01
1.058999999999999941e+00 8.600000000000000000e+01
1.060000000000000053e+00 7.700000000000000000e+01
1.060999999999999943e+00 6.200000000000000000e+01
1.062000000000000055e+00 7.700000000000000000e+01
1.062999999999999945e+00 9.100000000000000000e+01
1.064000000000000057e+00 9.600000000000000000e+01
1.064999999999999947e+00 9.600000000000000000e+01
1.066000000000000059e+00 9.100000000000000000e+01
1.066999999999999948e+00 8.600000000000000000e+01
1.068000000000000060e+00 7.700000000000000000e+01
1.068999999999999950e+00 7.700000000000000000e+01
1.070000000000000062e+00 7.700000000000000000e+01
1.070999999999999952e+00 7.200000000000000000e+01
1.072000000000000064e+00 8.600000000000000000e+01
1.072999999999999954e+00 1.060000000000000000e+02
1.074000000000000066e+00 1.010000000000000000e+02
1.074999999999999956e+00 9.100000000000000000e+01
1.076000000000000068e+00 7.700000000000000000e+01
1.076999999999999957e+00 6.700000000000000000e+01
1.078000000000000069e+00 7.700000000000000000e+01
1.078999999999999959e+00 7.700000000000000000e+01
1.080000000000000071e+00 8.600000000000000000e+01
1.080999999999999961e+00 9.700000000000000000e+01
1.082000000000000073e+00 8.700000000000000000e+01
1.082999999999999963e+00 6.300000000000000000e+01
1.084000000000000075e+00 5.800000000000000000e+01
1.084999999999999964e+00 6.800000000000000000e+01
1.086000000000000076e+00 7.800000000000000000e+01
1.086999999999999966e+00 8.700000000000000000e+01
1.088000000000000078e+00 1.020000000000000000e+02
